canonical_candidate,aliases,source_count,source_urls
戦略系コンサルティングファーム,戦略系コンサルティングファーム,2,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/
日本総合研究所,日本総合研究所,2,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=1
日立コンサルティング,日立コンサルティング,2,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=1
株式会社KPMG FAS,株式会社KPMG FAS,2,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
株式会社エヌ・ティ・ティ・データ経営研究所,株式会社エヌ・ティ・ティ・データ経営研究所,2,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
株式会社三菱総合研究所,株式会社三菱総合研究所,2,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
株式会社日本総合研究所,株式会社日本総合研究所,2,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
株式会社日立コンサルティング,株式会社日立コンサルティング,2,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
株式会社野村総合研究所,株式会社野村総合研究所,2,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
組織人事系コンサルティングファーム,組織人事系コンサルティングファーム,2,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/
総合系コンサルティングファーム,総合系コンサルティングファーム,2,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/
野村総合研究所(NRI),野村総合研究所（NRI）,2,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/
電通コンサルティング,電通コンサルティング,2,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=8
(旧)みずほ総合研究所,（旧）みずほ総合研究所,1,https://www.onecareer.jp/companies/business_categories/1?page=9
